id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
92716131,Mon May 27 2019 13:35:20 GMT-0400 (EDT),2019-05-27,2019-05-27 17:35:20 UTC,25.1892055754,-80.8974606874,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
93204618,2017/11/16 11:08 AM MST,2017-11-16,2017-11-16 18:08:00 UTC,25.0823789952,-80.8405174945,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
93282810,2021-09-01 14:03:06,2021-09-01,2021-09-01 19:03:06 UTC,25.1616602117,-80.8639909942,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
93759378,2021-09-05 11:57:44,2021-09-05,2021-09-05 15:57:44 UTC,25.3434851602,-80.8165210113,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
94655849,Sun Sep 12 2021 13:22:12 GMT-0400 (EDT),2021-09-12,2021-09-12 17:22:12 UTC,25.014458242,-80.8898385224,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
94656011,Sun Sep 12 2021 13:27:00 GMT-0400 (EDT),2021-09-12,2021-09-12 17:27:00 UTC,25.0181572655,-80.8691033582,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
96308472,Sun Sep 26 2021 17:48:54 GMT-0400 (EDT),2021-09-26,2021-09-26 21:48:54 UTC,25.1382445,-80.92968,Lynx rufus,Bobcat,Mammalia,41976,Carnivora,Lynx
98354523,Sun Sep 26 2021 17:05:07 GMT-0400 (EDT),2021-09-26,2021-09-26 21:05:07 UTC,25.0320850891,-80.9788069422,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
98354579,Sun Sep 26 2021 17:21:31 GMT-0400 (EDT),2021-09-26,2021-09-26 21:21:31 UTC,25.0061268911,-80.9056734086,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
99156665,2020/12/23 3:55 PM UTC,2020-12-23,2020-12-23 15:55:00 UTC,25.814439276,-81.4604988299,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
99452167,2021/10/25 10:42 AM UTC,2021-10-25,2021-10-25 10:42:00 UTC,25.0674537103,-80.9284518783,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
99469093,2017/02/14 2:18 PM CET,2017-02-14,2017-02-14 13:18:00 UTC,25.1935621579,-80.9222765238,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
99469094,2017/02/14 2:25 PM CET,2017-02-14,2017-02-14 13:25:00 UTC,25.0816096057,-80.8337694519,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
99901529,2016/03/29 10:57 AM UTC,2016-03-29,2016-03-29 10:57:00 UTC,25.1747855621,-80.8314477181,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
100632682,Mon Nov 08 2021 12:48:38 GMT-0500 (EST),2021-11-08,2021-11-08 17:48:38 UTC,25.816155,-81.4541083333,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
100812460,2021/06/04 12:09 PM -0500,2021-06-04,2021-06-04 17:09:00 UTC,25.1396713414,-80.8715171373,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
100972748,2021-06-04,2021-06-04,,25.3632664528,-80.4487617643,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
101890852,2021/11/25 5:31 AM AEDT,2021-11-25,2021-11-24 18:31:00 UTC,25.3444335377,-80.9355127364,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
102051077,2021/11/09 2:29 PM PST,2021-11-09,2021-11-09 22:29:00 UTC,25.8147189708,-81.3745434949,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
102339883,2018/07/07 10:22 AM UTC,2018-07-07,2018-07-07 10:22:00 UTC,25.4152115458,-80.6322310005,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
102341782,2019/04/17 12:31 PM UTC,2019-04-17,2019-04-17 12:31:00 UTC,25.0710038776,-80.8972365777,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
102526926,2021-12-04 07:17:13,2021-12-04,2021-12-04 12:17:13 UTC,25.1208763658,-80.825258769,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
102566023,2021/11/24 11:39 AM AKST,2021-11-24,2021-11-24 20:39:00 UTC,25.0259140432,-80.9332996545,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
102710257,2021-12-07 21:02:28,2021-12-07,2021-12-08 02:02:28 UTC,25.0236939483,-80.8687038607,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
102964023,2021/12/09 8:18 PM EST,2021-12-09,2021-12-10 01:18:00 UTC,25.6470923289,-81.2721306381,Procyon lotor,Common Raccoon,Mammalia,41663,Carnivora,Procyon
102965796,Sat Dec 11 2021 11:15:19 GMT-0500 (EST),2021-12-11,2021-12-11 16:15:19 UTC,25.1506124189,-80.8775650829,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
102972769,2021-11-26 11:16:07,2021-11-26,2021-11-26 16:16:07 UTC,25.0306024325,-80.9986650464,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
103174755,Thu Dec 16 2021 13:00:29 GMT-0500 (EST),2021-12-16,2021-12-16 18:00:29 UTC,25.0188413808,-80.8955683856,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
103628688,2021-12-24 11:02:26,2021-12-24,2021-12-24 16:02:26 UTC,25.2203568163,-80.93611623,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
